...1,Strain,Promoter,mTurq,Terminator,mTurq_per_OD_at_max_gr
2,pCLN2-mTurq-tCLN2,pCLN2,mTurq,tCLN2,87.91411497893606
3,pCLN2-mTurq-tHSP26,pCLN2,mTurq,tHSP26,154.93293525021951
4,pCLN2-mTurq-tPAB1,pCLN2,mTurq,tPAB1,161.28983846816135
5,pCLN2-mTurq-tPGK1,pCLN2,mTurq,tPGK1,84.89224389880852
6,pCLN2-mTurq-tPMA1_long,pCLN2,mTurq,tPMA1,-11.946506694573465
7,pCLN2-mTurq-tRPS13,pCLN2,mTurq,tRPS13,71.544140470876
8,pCLN2-mTurq-tRPS3,pCLN2,mTurq,tRPS3,140.47740858421218
9,pCLN2-mTurq-tSRO9_long,pCLN2,mTurq,tSRO9,50.0730389720925
10,pCLN2-mTurq-tSUN4,pCLN2,mTurq,tSUN4,23.30353782616337
11,pCLN2-mTurq-tTOS6,pCLN2,mTurq,tTOS6,52.41377908192174
12,pHSP26-mTurq-tCLN2,pHSP26,mTurq,tCLN2,9460.34479346752
13,pHSP26-mTurq-tHSP26,pHSP26,mTurq,tHSP26,8876.734541372596
14,pHSP26-mTurq-tPAB1,pHSP26,mTurq,tPAB1,11215.69174934069
15,pHSP26-mTurq-tPGK1,pHSP26,mTurq,tPGK1,12799.488866372534
16,pHSP26-mTurq-tPMA1_long,pHSP26,mTurq,tPMA1,3541.453988308426
17,pHSP26-mTurq-tRPS13,pHSP26,mTurq,tRPS13,10531.339096238406
18,pHSP26-mTurq-tRPS3,pHSP26,mTurq,tRPS3,8652.540726969191
19,pHSP26-mTurq-tSRO9_long,pHSP26,mTurq,tSRO9,5499.19193111102
20,pHSP26-mTurq-tSUN4,pHSP26,mTurq,tSUN4,4602.50712450018
21,pHSP26-mTurq-tTOS6,pHSP26,mTurq,tTOS6,6909.049161039816
22,pPGK1-mTurq-tCLN2,pPGK1,mTurq,tCLN2,6884.730460041239
23,pPGK1-mTurq-tHSP26,pPGK1,mTurq,tHSP26,6583.8390926345755
24,pPGK1-mTurq-tPAB1,pPGK1,mTurq,tPAB1,9958.657519649534
25,pPGK1-mTurq-tPGK1,pPGK1,mTurq,tPGK1,8003.940397852199
26,pPGK1-mTurq-tPMA1_long,pPGK1,mTurq,tPMA1,1280.6674568380995
27,pPGK1-mTurq-tRPS13,pPGK1,mTurq,tRPS13,6171.679245101378
28,pPGK1-mTurq-tRPS3,pPGK1,mTurq,tRPS3,7470.65313658979
29,pPGK1-mTurq-tSRO9_long,pPGK1,mTurq,tSRO9,3071.031191318849
30,pPGK1-mTurq-tSUN4,pPGK1,mTurq,tSUN4,2703.1336641442213
31,pPGK1-mTurq-tTOS6,pPGK1,mTurq,tTOS6,4524.377844765625
32,pRPS13-mTurq-tCLN2,pRPS13,mTurq,tCLN2,4637.937518940849
33,pRPS13-mTurq-tHSP26,pRPS13,mTurq,tHSP26,4187.097838418904
34,pRPS13-mTurq-tPAB1,pRPS13,mTurq,tPAB1,5931.469625349881
35,pRPS13-mTurq-tPGK1,pRPS13,mTurq,tPGK1,3583.610493637775
36,pRPS13-mTurq-tPMA1_long,pRPS13,mTurq,tPMA1,919.785650423291
37,pRPS13-mTurq-tRPS13,pRPS13,mTurq,tRPS13,3918.9695353233537
38,pRPS13-mTurq-tRPS3,pRPS13,mTurq,tRPS3,4338.571462540564
39,pRPS13-mTurq-tSRO9_long,pRPS13,mTurq,tSRO9,2459.4988440562274
40,pRPS13-mTurq-tSUN4,pRPS13,mTurq,tSUN4,1027.9518696402447
41,pRPS13-mTurq-tTOS6,pRPS13,mTurq,tTOS6,2043.8658586815247
42,pRPS3-mTurq-tCLN2,pRPS3,mTurq,tCLN2,4773.493333890776
43,pRPS3-mTurq-tHSP26,pRPS3,mTurq,tHSP26,4272.08933775327
44,pRPS3-mTurq-tPAB1,pRPS3,mTurq,tPAB1,5765.552070037618
45,pRPS3-mTurq-tPGK1,pRPS3,mTurq,tPGK1,4216.861357241348
46,pRPS3-mTurq-tPMA1_long,pRPS3,mTurq,tPMA1,791.6036442982818
47,pRPS3-mTurq-tRPS13,pRPS3,mTurq,tRPS13,3830.0253675420927
48,pRPS3-mTurq-tRPS3,pRPS3,mTurq,tRPS3,5090.185243531098
49,pRPS3-mTurq-tSRO9_long,pRPS3,mTurq,tSRO9,2278.6837503182383
50,pRPS3-mTurq-tSUN4,pRPS3,mTurq,tSUN4,1003.0498259786712
51,pRPS3-mTurq-tTOS6,pRPS3,mTurq,tTOS6,2517.807272951732
52,pSRO9-mTurq-tCLN2,pSRO9,mTurq,tCLN2,715.6410068400272
53,pSRO9-mTurq-tHSP26,pSRO9,mTurq,tHSP26,748.6928108002322
54,pSRO9-mTurq-tPAB1,pSRO9,mTurq,tPAB1,869.7289120825703
55,pSRO9-mTurq-tPGK1,pSRO9,mTurq,tPGK1,587.3612268506395
56,pSRO9-mTurq-tPMA1_long,pSRO9,mTurq,tPMA1,96.02566927535162
57,pSRO9-mTurq-tRPS13,pSRO9,mTurq,tRPS13,660.0513782663273
58,pSRO9-mTurq-tRPS3,pSRO9,mTurq,tRPS3,820.3734456050902
59,pSRO9-mTurq-tSRO9_long,pSRO9,mTurq,tSRO9,270.91392112898467
60,pSRO9-mTurq-tSUN4,pSRO9,mTurq,tSUN4,162.2603999571369
61,pSRO9-mTurq-tTOS6,pSRO9,mTurq,tTOS6,317.6814309710656
2,pCLN2-mTurq-tCLN2,pCLN2,mTurq,tCLN2,101.2279812586111
3,pCLN2-mTurq-tHSP26,pCLN2,mTurq,tHSP26,159.0905282605142
4,pCLN2-mTurq-tPAB1,pCLN2,mTurq,tPAB1,147.15684861982115
5,pCLN2-mTurq-tPGK1,pCLN2,mTurq,tPGK1,105.32636537850462
6,pCLN2-mTurq-tPMA1_long,pCLN2,mTurq,tPMA1,23.30479046739862
7,pCLN2-mTurq-tRPS13,pCLN2,mTurq,tRPS13,67.57138575645403
8,pCLN2-mTurq-tRPS3,pCLN2,mTurq,tRPS3,142.82508662211657
9,pCLN2-mTurq-tSRO9_long,pCLN2,mTurq,tSRO9,20.63547639967101
10,pCLN2-mTurq-tSUN4,pCLN2,mTurq,tSUN4,22.30300241871118
11,pCLN2-mTurq-tTOS6,pCLN2,mTurq,tTOS6,23.773149002715396
12,pHSP26-mTurq-tCLN2,pHSP26,mTurq,tCLN2,6104.5020637300095
13,pHSP26-mTurq-tHSP26,pHSP26,mTurq,tHSP26,5204.654912344818
14,pHSP26-mTurq-tPAB1,pHSP26,mTurq,tPAB1,7154.572881271301
15,pHSP26-mTurq-tPGK1,pHSP26,mTurq,tPGK1,7064.48422425651
16,pHSP26-mTurq-tPMA1_long,pHSP26,mTurq,tPMA1,2773.128508549177
17,pHSP26-mTurq-tRPS13,pHSP26,mTurq,tRPS13,5705.483998833036
18,pHSP26-mTurq-tRPS3,pHSP26,mTurq,tRPS3,6849.448548072029
19,pHSP26-mTurq-tSRO9_long,pHSP26,mTurq,tSRO9,2252.384029883193
20,pHSP26-mTurq-tSUN4,pHSP26,mTurq,tSUN4,2627.812989699721
21,pHSP26-mTurq-tTOS6,pHSP26,mTurq,tTOS6,3715.662715153895
22,pPGK1-mTurq-tCLN2,pPGK1,mTurq,tCLN2,6125.268565664771
23,pPGK1-mTurq-tHSP26,pPGK1,mTurq,tHSP26,5478.768450604614
24,pPGK1-mTurq-tPAB1,pPGK1,mTurq,tPAB1,9692.360505317689
25,pPGK1-mTurq-tPGK1,pPGK1,mTurq,tPGK1,7353.903922728167
26,pPGK1-mTurq-tPMA1_long,pPGK1,mTurq,tPMA1,1034.6578487321488
27,pPGK1-mTurq-tRPS13,pPGK1,mTurq,tRPS13,5897.393048786334
28,pPGK1-mTurq-tRPS3,pPGK1,mTurq,tRPS3,6772.64358532666
29,pPGK1-mTurq-tSRO9_long,pPGK1,mTurq,tSRO9,2860.6342400840276
30,pPGK1-mTurq-tSUN4,pPGK1,mTurq,tSUN4,2520.7070930495224
31,pPGK1-mTurq-tTOS6,pPGK1,mTurq,tTOS6,3521.3178701608085
32,pRPS13-mTurq-tCLN2,pRPS13,mTurq,tCLN2,4756.958004016287
33,pRPS13-mTurq-tHSP26,pRPS13,mTurq,tHSP26,4538.487258935194
34,pRPS13-mTurq-tPAB1,pRPS13,mTurq,tPAB1,6015.943464753335
35,pRPS13-mTurq-tPGK1,pRPS13,mTurq,tPGK1,3842.465489935363
36,pRPS13-mTurq-tPMA1_long,pRPS13,mTurq,tPMA1,957.3679365620457
37,pRPS13-mTurq-tRPS13,pRPS13,mTurq,tRPS13,4192.443092524979
38,pRPS13-mTurq-tRPS3,pRPS13,mTurq,tRPS3,4826.224471626575
39,pRPS13-mTurq-tSRO9_long,pRPS13,mTurq,tSRO9,2435.7294133797773
40,pRPS13-mTurq-tSUN4,pRPS13,mTurq,tSUN4,1233.75045279112
41,pRPS13-mTurq-tTOS6,pRPS13,mTurq,tTOS6,1889.7426212434168
42,pRPS3-mTurq-tCLN2,pRPS3,mTurq,tCLN2,4881.633573017669
43,pRPS3-mTurq-tHSP26,pRPS3,mTurq,tHSP26,4411.785263625321
44,pRPS3-mTurq-tPAB1,pRPS3,mTurq,tPAB1,6284.396563823065
45,pRPS3-mTurq-tPGK1,pRPS3,mTurq,tPGK1,4108.312342568911
46,pRPS3-mTurq-tPMA1_long,pRPS3,mTurq,tPMA1,756.2082057748908
47,pRPS3-mTurq-tRPS13,pRPS3,mTurq,tRPS13,3959.101145162268
48,pRPS3-mTurq-tRPS3,pRPS3,mTurq,tRPS3,5365.596340706209
49,pRPS3-mTurq-tSRO9_long,pRPS3,mTurq,tSRO9,2489.6179374018743
50,pRPS3-mTurq-tSUN4,pRPS3,mTurq,tSUN4,1207.861434818959
51,pRPS3-mTurq-tTOS6,pRPS3,mTurq,tTOS6,1526.7448284327704
52,pSRO9-mTurq-tCLN2,pSRO9,mTurq,tCLN2,684.8645739221029
53,pSRO9-mTurq-tHSP26,pSRO9,mTurq,tHSP26,782.271771926435
54,pSRO9-mTurq-tPAB1,pSRO9,mTurq,tPAB1,961.2692675797924
55,pSRO9-mTurq-tPGK1,pSRO9,mTurq,tPGK1,557.6623446656938
56,pSRO9-mTurq-tPMA1_long,pSRO9,mTurq,tPMA1,93.32683250368434
57,pSRO9-mTurq-tRPS13,pSRO9,mTurq,tRPS13,701.6472067728594
58,pSRO9-mTurq-tRPS3,pSRO9,mTurq,tRPS3,928.1136993610417
59,pSRO9-mTurq-tSRO9_long,pSRO9,mTurq,tSRO9,310.4015605931734
60,pSRO9-mTurq-tSUN4,pSRO9,mTurq,tSUN4,157.9801568694213
61,pSRO9-mTurq-tTOS6,pSRO9,mTurq,tTOS6,293.35739776817985
2,pCLN2-mTurq-tCLN2,pCLN2,mTurq,tCLN2,85.45529101296962
3,pCLN2-mTurq-tHSP26,pCLN2,mTurq,tHSP26,174.22172685595808
4,pCLN2-mTurq-tPAB1,pCLN2,mTurq,tPAB1,171.44681613991244
5,pCLN2-mTurq-tPGK1,pCLN2,mTurq,tPGK1,100.86096806312676
6,pCLN2-mTurq-tPMA1_long,pCLN2,mTurq,tPMA1,32.876714771417966
7,pCLN2-mTurq-tRPS13,pCLN2,mTurq,tRPS13,105.27558272837838
8,pCLN2-mTurq-tRPS3,pCLN2,mTurq,tRPS3,148.5945905165878
9,pCLN2-mTurq-tSRO9_long,pCLN2,mTurq,tSRO9,70.98280585918675
10,pCLN2-mTurq-tSUN4,pCLN2,mTurq,tSUN4,29.359884931702055
11,pCLN2-mTurq-tTOS6,pCLN2,mTurq,tTOS6,63.60919609030436
12,pHSP26-mTurq-tCLN2,pHSP26,mTurq,tCLN2,8834.054153809055
13,pHSP26-mTurq-tHSP26,pHSP26,mTurq,tHSP26,6778.495835288597
14,pHSP26-mTurq-tPAB1,pHSP26,mTurq,tPAB1,10378.461047965517
15,pHSP26-mTurq-tPGK1,pHSP26,mTurq,tPGK1,9444.81723088225
16,pHSP26-mTurq-tPMA1_long,pHSP26,mTurq,tPMA1,2864.882480897877
17,pHSP26-mTurq-tRPS13,pHSP26,mTurq,tRPS13,4801.153043968762
18,pHSP26-mTurq-tRPS3,pHSP26,mTurq,tRPS3,7506.377184419779
19,pHSP26-mTurq-tSRO9_long,pHSP26,mTurq,tSRO9,7966.482210189374
20,pHSP26-mTurq-tSUN4,pHSP26,mTurq,tSUN4,3220.260633330188
21,pHSP26-mTurq-tTOS6,pHSP26,mTurq,tTOS6,7482.423221244693
22,pPGK1-mTurq-tCLN2,pPGK1,mTurq,tCLN2,6393.903253898508
23,pPGK1-mTurq-tHSP26,pPGK1,mTurq,tHSP26,6059.686135558168
24,pPGK1-mTurq-tPAB1,pPGK1,mTurq,tPAB1,18003.76370258202
25,pPGK1-mTurq-tPGK1,pPGK1,mTurq,tPGK1,7316.184690693483
26,pPGK1-mTurq-tPMA1_long,pPGK1,mTurq,tPMA1,1081.3572598639046
27,pPGK1-mTurq-tRPS13,pPGK1,mTurq,tRPS13,5569.985776430603
28,pPGK1-mTurq-tRPS3,pPGK1,mTurq,tRPS3,6563.940148776193
29,pPGK1-mTurq-tSRO9_long,pPGK1,mTurq,tSRO9,2757.277333479254
30,pPGK1-mTurq-tSUN4,pPGK1,mTurq,tSUN4,2432.9591889217018
31,pPGK1-mTurq-tTOS6,pPGK1,mTurq,tTOS6,4117.4618572244335
32,pRPS13-mTurq-tCLN2,pRPS13,mTurq,tCLN2,4467.8516568157
33,pRPS13-mTurq-tHSP26,pRPS13,mTurq,tHSP26,4330.392448910909
34,pRPS13-mTurq-tPAB1,pRPS13,mTurq,tPAB1,5345.728964281867
35,pRPS13-mTurq-tPGK1,pRPS13,mTurq,tPGK1,3419.236555580783
36,pRPS13-mTurq-tPMA1_long,pRPS13,mTurq,tPMA1,908.1459883700106
37,pRPS13-mTurq-tRPS13,pRPS13,mTurq,tRPS13,3771.5100281685463
38,pRPS13-mTurq-tRPS3,pRPS13,mTurq,tRPS3,4311.252031582051
39,pRPS13-mTurq-tSRO9_long,pRPS13,mTurq,tSRO9,2263.8088843995447
40,pRPS13-mTurq-tSUN4,pRPS13,mTurq,tSUN4,1010.5832033739276
41,pRPS13-mTurq-tTOS6,pRPS13,mTurq,tTOS6,3306.873985416817
42,pRPS3-mTurq-tCLN2,pRPS3,mTurq,tCLN2,4181.830454827547
43,pRPS3-mTurq-tHSP26,pRPS3,mTurq,tHSP26,3875.966679649158
44,pRPS3-mTurq-tPAB1,pRPS3,mTurq,tPAB1,5741.50752777961
45,pRPS3-mTurq-tPGK1,pRPS3,mTurq,tPGK1,3592.4073910123493
46,pRPS3-mTurq-tPMA1_long,pRPS3,mTurq,tPMA1,679.4020298720357
47,pRPS3-mTurq-tRPS13,pRPS3,mTurq,tRPS13,3525.7975161609684
48,pRPS3-mTurq-tRPS3,pRPS3,mTurq,tRPS3,4624.181974599402
49,pRPS3-mTurq-tSRO9_long,pRPS3,mTurq,tSRO9,2326.8033137054244
50,pRPS3-mTurq-tSUN4,pRPS3,mTurq,tSUN4,971.8883635183852
51,pRPS3-mTurq-tTOS6,pRPS3,mTurq,tTOS6,1372.2669422665388
52,pSRO9-mTurq-tCLN2,pSRO9,mTurq,tCLN2,664.4529517411547
53,pSRO9-mTurq-tHSP26,pSRO9,mTurq,tHSP26,655.8791920301296
54,pSRO9-mTurq-tPAB1,pSRO9,mTurq,tPAB1,850.8146950640679
55,pSRO9-mTurq-tPGK1,pSRO9,mTurq,tPGK1,493.24983438296226
56,pSRO9-mTurq-tPMA1_long,pSRO9,mTurq,tPMA1,106.91207095403897
57,pSRO9-mTurq-tRPS13,pSRO9,mTurq,tRPS13,953.7371165189172
58,pSRO9-mTurq-tRPS3,pSRO9,mTurq,tRPS3,803.4965664722091
59,pSRO9-mTurq-tSRO9_long,pSRO9,mTurq,tSRO9,301.43171776942535
60,pSRO9-mTurq-tSUN4,pSRO9,mTurq,tSUN4,160.12494843014346
